Item,gender,age,Education,monthly income,Working years,TQI1,TQI2,TQI3,TQI4,DII1,DII2,DII3,DII4,CEC1,CEC2,CEC3,CEC4,RD1,RD2,RD3,RD4,CSI1,CSI2,CSI3,CSI4,CBO1,CBO2,CBO3,CBO4,CBO5,CBO6,TQI,DI,CEC,RD,CSI,CBO
问卷208,2,1,2,2,2,6,4,4,4,6,4,4,4,6,4,4,4,4,6,6,4,4,4,4,4,4,6,4,4,4,6,4.50,4.50,4.50,5.00,4.00,4.67
问卷209,1,4,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5.00,5.00,5.00,5.00,5.00
问卷210,1,2,4,2,3,3,5,4,5,3,5,4,5,3,5,4,5,5,3,3,5,4,5,4,5,5,3,5,4,5,3,4.25,4.25,4.25,4.00,4.50,4.17
问卷211,1,2,1,1,3,5,7,7,7,5,7,7,7,5,7,7,7,7,5,5,7,7,7,7,7,7,5,7,7,7,5,6.50,6.50,6.50,6.00,7.00,6.33
问卷212,2,2,2,5,3,6,4,4,4,6,4,4,4,6,4,4,4,4,6,6,4,4,4,4,4,4,6,4,4,4,6,4.50,4.50,4.50,5.00,4.00,4.67
问卷213,2,1,2,4,4,5,4,4,4,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,4.25,4.25,4.25,4.50,4.00,4.33
问卷214,2,2,2,1,4,6,4,4,4,6,4,4,4,6,4,4,4,4,6,6,4,4,4,4,4,4,6,4,4,4,6,4.50,4.50,4.50,5.00,4.00,4.67
问卷215,1,3,2,2,3,4,5,5,4,4,5,5,4,4,5,5,4,4,4,4,5,5,4,5,4,5,4,5,5,4,4,4.50,4.50,4.50,4.25,4.50,4.50
问卷216,2,4,4,2,4,6,7,6,6,6,7,6,6,6,7,6,6,6,6,6,7,6,6,6,6,7,6,7,6,6,6,6.25,6.25,6.25,6.25,6.00,6.33
问卷217,1,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.00,4.00,4.00,4.00,4.00,4.00
问卷218,1,1,1,4,2,4,4,5,5,4,4,5,5,4,4,5,5,5,4,4,4,5,5,5,5,4,4,4,5,5,4,4.50,4.50,4.50,4.25,5.00,4.33
问卷219,1,1,2,3,4,7,7,6,5,7,7,6,5,7,7,6,5,5,7,7,7,6,5,6,5,7,7,7,6,5,7,6.25,6.25,6.25,6.50,5.50,6.50
问卷220,2,1,1,3,4,7,4,4,4,7,4,4,4,7,4,4,4,4,7,7,4,4,4,4,4,4,7,4,4,4,7,4.75,4.75,4.75,5.50,4.00,5.00
问卷221,1,2,1,5,3,4,4,4,6,4,4,4,6,4,4,4,6,6,4,4,4,4,6,4,6,4,4,4,4,6,4,4.50,4.50,4.50,4.50,5.00,4.33
问卷222,2,3,2,3,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,3.75,3.75,3.75,3.75,4.00,3.67
问卷223,2,2,2,4,4,7,6,6,6,7,6,6,6,7,6,6,6,6,7,7,6,6,6,6,6,6,7,6,6,6,7,6.25,6.25,6.25,6.50,6.00,6.33
问卷224,2,2,1,4,3,3,4,4,4,3,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,3.75,3.75,3.75,3.50,4.00,3.67
